type,category,files,segment_sec,hours
positive,Elizaveta_NoiseRedux_volume_minus20db__9b52b398,5502,2.0,3.0566666666666666
positive,IGOREK_SAVINOV__9e24f891,840,2.0,0.4666666666666667
positive,MAMA_NoiseRedux_volume_minus20db__2daa986a,4704,2.0,2.6133333333333333
positive,MAXIM_volume_minus20db__e76664d8,3948,2.0,2.1933333333333334
positive,MY_3_mic__e8a7f576,13229,2.0,7.349444444444444
positive,MY_VOICE_volgu_na_pare__f61a9a99,600,2.0,0.3333333333333333
positive,MY_one_mic__489b75b7,4500,2.0,2.5
positive,PAPA_NoiseRedux_volume_minus20db__369b25ab,3864,2.0,2.1466666666666665
positive,TTS_VOICE_timeBad__eeac3c12,4368,2.0,2.4266666666666667
negative,BbItovie,253,2.0,0.14055555555555554
negative,NEGATIVE_SPEAKERS_AUGMENTATION,9045,2.0,5.025
negative,music_mix,11489,2.0,6.382777777777778
negative,pdsounds_march2009,8230,2.0,4.572222222222222
negative,podcasts_youtube,17351,2.0,9.639444444444445
negative,randomSound,122,2.0,0.06777777777777778
TOTAL,positives,41555,2.0,23.086111111111105
TOTAL,negatives,46490,2.0,25.827777777777776
